"fact_id","fact_statement","owning_artifact_id","may_also_appear_in","must_not_appear_in","demo_question"
"F-UAT-SCRIPTS","UAT comprises 14 scripts UAT-01 to UAT-14 with 9 testers; 23 defects were raised in the first week, 17 cosmetic, 4 data, 2 access.","EM-089","CH-02; T-08","T-01; T-02; T-03; T-04; T-05; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-PII1","PII-1: an Indian mobile number, +91 90000 00012, shared in the WhatsApp UAT group.","CH-02","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-PII2","PII-2: a personal webmail address, vikram.sethi.personal@gmail.example, used to route a file around the attachment size limit.","EM-084","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-PII3","PII-3: a masked bank account fragment, 'A/c XXXXXXXX4417, IFSC XXXX0000000', in a cell comment.","XL-01","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-PII4","PII-4: hardcoded database passwords in a properties fragment.","TECH-PROPS","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-PII5","PII-5: an Aadhaar-format string, 9999 8888 7777, in a sample data row in an appendix.","DOC-01","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
# BINDING ON EVERY GENERATION AGENT. If your artifact ID appears in must_not_appear_in, that fact is forbidden to you in every form: paraphrase, hint, allusion, rounded restatement, or a pointer that reveals the value.
# The 55 artifact IDs are: T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08
# A meeting's .vtt and .txt share one ID and are bound identically. _canon/ files are canon-internal and are not artifacts.
# owning_artifact_id = NONE means the fact must exist in no artifact at all. That is the Q6 write-back test.
# SYNTHETIC — generated for internal demo. No real entity depicted.
